artist
Sandeep Mukherjee
Shobha Broota
Piyali Ghosh
Gurusiddappa GE
Ajay Dhandre
Brighu K Sharma
Bhawani Charan Law
Kshistindranath Mazumdar
Abraham Christopher Gregory Suriarachi Amarasekara
Sahibdin
Alphonso Doss
C J Antony Doss
Mrinalini Mukherjee
R Regunatha Naidu
Manchershaw Pithawalla
Gargi Raina
Piraji C Sagara
Jogesh Chander Seal
M Senathipathi
D Ebenezer Sunder Singh
L N Tallur
Vasundhara Tewari
Nayanaa Kanodia
Madhoor Kapur
Jai Zharotia
Subba Ghosh
Sonia Khurana
Indrapramit Roy
Ravi Agarwal
Samit Das
Rahul Mukherjee
Indra Dugar
Aji V N
Rajesh Pullarwar
Ved Prakash Gupta
Pradeep L Mishra
Ameena Ahuja
Purna Chandra Chakravorty
Nibaran Chandra Ghosh
Vanita Gupta
Hemant Misra
Pranay Ranjan Roy
A P Santhanaraj
Bhabesh C Sanyal
Sarbani Sen
Mohan Sharma
Amrita Sher-Gil
Heeral Trivedi
Dillip Dasgupta
Mayyur Gupta
Kiran Telkar
Prajakta Potnis
Anirban Mitra
Nicola Durvasula
Valay Shende
Acharya Vyakul
Pors & Rao
Sojwal Samant
Barun Chowdhury
Deepak Tandon
Ambika Dhurandhar
Devayani Krishna
B Majumdar
J M S Mani
Jaideep Mehrotra
A M Davierwalla
Adi Davierwalla
M R Acharekar
Ratnadeep Gopal Adivrekar
Shankar Nath Aich
Suhas Bahulkar
Chandra Bhattacharjee
Pestonji Bomanji
Ustad Allah Bukhsh
Sanat Chatterjee
Gopal Damodar Deuskar
Seema Ghurayya
Bipin Goswami
L Munuswamy
Sajal Roy
Amar Nath Sehgal
Lalit Mohan Sen
Sunil Madhav Sen
Shuvaprasanna
Sidharth
M S Suriyamoorthy
Laxman Narain Taskar
S G Vasudev
Raghav Kaneria
Sanjeev Khandekar
Ashutosh Bhardwaj
Prasanta Sahu
Zakkir Hussain
Jaya Ganguly
R M Palaniappam
Shreyasi Chatterjee
Surekha
Venkat Bothsa
Nikhil Chopra
Yusuf Ali
Narendra Pal Singh
Pranati Panda
Avinash Veeraraghavan
Uday Shanbhag
Debesh Goswami
Binoy Varghese
Samaraendra Raj Singh
Raqs Media Collective
Acharya Sumita
Balaji Ponna
Kriti Arora
Snehashish Maity
Sanjay Kumar Singh
Prantik Chattopadhyay
Sarika Mehta
Nagji Patel
Minal Damani
Jehangir Jani
Nandita Chaudhuri
Sambit Panda
C Bhagyanath
Pilloo Pochkhanawala
Kisory Roy
Lalitha Lajmi
Isha Mahammad
Pradeep Maitra
Ratin Maitra
Shakil Saigol
Naeem Rana
Nabeebaksh Mansoori
Gopal S Adivrekar
Vasudeo Sitaram Adulkar
Muzaffar Ali
K C Aryan
Gobardhan Ash
S H Askari
Subhash Awchat
Radha Charan Bagchi
Shipra Bhattacharya
Nikhil Chaganlal
Prafulla Dahanukar
C Dakshinamoorthy
Prodosh Das Gupta
Rini Dhumal
Nandini Goud
Satish Gupta
Kahini Arte Merchant
Samir Mondal
S Nandagopal
V Ramesh
Rasik Rawal
Khagen Roy
Gopal Sanyal
Niren Sen Gupta
Abani Sen
Haku Shah
Shakuntala
Anupam Sud
M Suryamoorthi
Viren Tanwar
Rathin Kanji
Surendranath Kar
Mani Kaul
Bijan Chaudhuri
Padmanabh Bendre
Abishek Hazra
Daroz Pandurangiah
Eruchshaw Pestonji
Umesh Verma
Kingshuk Sarkar
Sumitro Basak
Shambhavi Singh
G. Reghu
Dilip Sur
Santana Gohain
Shanthi Swaroopini
Pablo Bartholomew
Allan deSouza
Rameshwar Singh
Samit Dey
Antonio E Costa
Navin Thomas
Mona Rai
Diliip Singh Chauhan
Mansi Bhatt
Sheila Makhijani
Jaishri Abichandani
P V Janakiram
Meena Sansanwal
Kanishka Raja
Reji Arackal
Sanjeev Sonpimpare
Aniket Khupse
Ramananda Bandyopadhyay
Sharmila Samant
Surya Prakash
Rajendra Kapse
Sonia Mehra Chawla
P S Rajesh
T Ratheesh
Prabuddha Dasgupta
Nikhileswar Baruah
Dilip Ranade
Smitri Dixit
Baburao Sadwelkar
Sujata Achrekar
P Khemraj
Ramaswami Naidu
Sakshi Gupta
Vineet Kacker
Karl Antao
Ajay Desai
Ravi Shah
Tejal Shah
Prajjwal Choudhury
Ompal Sansanwal
K S Radhakrishnan
Syed Haider Raza
K H Ara
K K Hebbar
N S Bendre
G R Santosh
V S Gaitonde
T Vaikuntam
Jayashree Chakravarty
Hari Ambadas Gade
Nataraj Sharma
K S Kulkarni
Thukral and Tagra
S K Bakre
M V Dhurandhar
B N Arya
D P Roy Chowdhury
J P Gangooly
Navjyot Altaf
S L Haldankar
Jatin Das
Amitava Das
P T Reddy
Abir Karmakar
Baburao Painter
Shahabudin
B C Sanyal
Adi Davierwalla
S H Raza
Krishna Howlaji Ara
Iranna G Rukumpur
H A Gade
T & T
